DATE,1_YEAR,2_YEAR,3_YEAR,5_YEAR,7_YEAR,10_YEAR,20_YEAR,30_YEAR
1/2/1990,7.809999943,7.869999886,7.900000095,7.869999886,7.980000019,7.940000057,,8
1/3/1990,7.849999905,7.940000057,7.960000038,7.920000076,8.039999962,7.989999771,,8.039999962
1/4/1990,7.820000172,7.920000076,7.929999828,7.909999847,8.020000458,7.980000019,,8.039999962
1/5/1990,7.789999962,7.900000095,7.940000057,7.920000076,8.029999733,7.989999771,,8.06000042
1/8/1990,7.809999943,7.900000095,7.949999809,7.920000076,8.050000191,8.020000458,,8.090000153
1/9/1990,7.78000021,7.909999847,7.940000057,7.920000076,8.050000191,8.020000458,,8.100000381
1/1/1990,7.769999981,7.909999847,7.949999809,7.920000076,8,8.029999733,,8.109999657
1/11/1990,7.769999981,7.909999847,7.949999809,7.940000057,8.010000229,8.039999962,,8.109999657
1/12/1990,7.760000229,7.929999828,7.980000019,7.989999771,8.069999695,8.100000381,,8.170000076
1/16/1990,7.920000076,8.100000381,8.130000114,8.109999657,8.180000305,8.199999809,,8.25
1/17/1990,7.909999847,8.090000153,8.109999657,8.109999657,8.170000076,8.18999958,,8.25
1/18/1990,8.050000191,8.25,8.279999733,8.270000458,8.31000042,8.319999695,,8.350000381
1/19/1990,8,8.199999809,8.229999542,8.199999809,8.239999771,8.260000229,,8.289999962
1/22/1990,7.980000019,8.180000305,8.199999809,8.18999958,8.25,8.270000458,,8.31000042
1/23/1990,7.96999979,8.180000305,8.199999809,8.180000305,8.229999542,8.260000229,,8.289999962
1/24/1990,8,8.199999809,8.289999962,8.279999733,8.340000153,8.380000114,,8.409999847
1/25/1990,8.029999733,8.239999771,8.319999695,8.31000042,8.390000343,8.420000076,,8.460000038
1/26/1990,8.069999695,8.279999733,8.380000114,8.380000114,8.449999809,8.489999771,,8.550000191
1/29/1990,8.079999924,8.300000191,8.390000343,8.390000343,8.449999809,8.5,,8.539999962
1/3/1990,8.090000153,8.300000191,8.390000343,8.430000305,8.470000267,8.510000229,,8.550000191
1/31/1990,8.079999924,8.279999733,8.359999657,8.350000381,8.390000343,8.430000305,,8.460000038
2/1/1990,8.090000153,8.279999733,8.350000381,8.350000381,8.380000114,8.420000076,,8.43999958
2/2/1990,8.130000114,8.369999886,8.430000305,8.420000076,8.460000038,8.5,,8.510000229
2/5/1990,8.149999619,8.369999886,8.430000305,8.43999958,8.479999542,8.529999733,,8.529999733
2/6/1990,8.149999619,8.420000076,8.430000305,8.489999771,8.520000458,8.569999695,,8.579999924
2/7/1990,8.170000076,8.420000076,8.430000305,8.510000229,8.529999733,8.520000458,,8.569999695
2/8/1990,8.130000114,8.369999886,8.390000343,8.449999809,8.479999542,8.489999771,,8.5
2/9/1990,8.029999733,8.25,8.239999771,8.289999962,8.340000153,8.31000042,,8.359999657
2/12/1990,8.06000042,8.319999695,8.319999695,8.369999886,8.409999847,8.399999619,,8.430000305
2/13/1990,7.949999809,8.210000038,8.210000038,8.289999962,8.359999657,8.350000381,,8.390000343
2/14/1990,8.029999733,8.270000458,8.270000458,8.340000153,8.359999657,8.359999657,,8.409999847
2/15/1990,8.109999657,8.350000381,8.350000381,8.399999619,8.43999958,8.430000305,,8.470000267
2/16/1990,8.090000153,8.359999657,8.340000153,8.409999847,8.430000305,8.420000076,,8.460000038
2/2/1990,8.239999771,8.520000458,8.520000458,8.579999924,8.630000114,8.619999886,,8.659999847
2/21/1990,8.220000267,8.5,8.520000458,8.600000381,8.630000114,8.619999886,,8.659999847
2/22/1990,8.170000076,8.449999809,8.479999542,8.479999542,8.569999695,8.539999962,,8.56000042
2/23/1990,8.109999657,8.430000305,8.449999809,8.470000267,8.56000042,8.529999733,,8.56000042
2/26/1990,8.100000381,8.380000114,8.399999619,8.399999619,8.489999771,8.460000038,,8.489999771
2/27/1990,8.06000042,8.340000153,8.340000153,8.340000153,8.430000305,8.409999847,,8.449999809
2/28/1990,8.119999886,8.430000305,8.449999809,8.43999958,8.539999962,8.510000229,,8.539999962
3/1/1990,8.210000038,8.529999733,8.529999733,8.529999733,8.619999886,8.590000153,,8.609999657
3/2/1990,8.220000267,8.479999542,8.5,8.5,8.569999695,8.539999962,,8.550000191
3/5/1990,8.31000042,8.550000191,8.590000153,8.579999924,8.68999958,8.649999619,,8.659999847
3/6/1990,8.31000042,8.539999962,8.56000042,8.569999695,8.640000343,8.590000153,,8.590000153
3/7/1990,8.289999962,8.539999962,8.550000191,8.56000042,8.630000114,8.579999924,,8.579999924
3/8/1990,8.350000381,8.590000153,8.579999924,8.569999695,8.619999886,8.569999695,,8.56000042
3/9/1990,8.460000038,8.729999542,8.710000038,8.680000305,8.710000038,8.649999619,,8.630000114
3/12/1990,8.43999958,8.710000038,8.699999809,8.670000076,8.699999809,8.630000114,,8.619999886
3/13/1990,8.479999542,8.770000458,8.770000458,8.75,8.779999733,8.729999542,,8.720000267
3/14/1990,8.409999847,8.68999958,8.699999809,8.670000076,8.710000038,8.649999619,,8.609999657
3/15/1990,8.409999847,8.710000038,8.699999809,8.68999958,8.729999542,8.659999847,,8.630000114
3/16/1990,8.359999657,8.640000343,8.619999886,8.609999657,8.640000343,8.590000153,,8.550000191
3/19/1990,8.380000114,8.680000305,8.659999847,8.649999619,8.659999847,8.590000153,,8.539999962
3/2/1990,8.380000114,8.680000305,8.649999619,8.609999657,8.619999886,8.539999962,,8.470000267
3/21/1990,8.390000343,8.68999958,8.659999847,8.619999886,8.630000114,8.550000191,,8.470000267
3/22/1990,8.319999695,8.619999886,8.600000381,8.56000042,8.609999657,8.529999733,,8.489999771
3/23/1990,8.289999962,8.609999657,8.590000153,8.539999962,8.590000153,8.520000458,,8.479999542
3/26/1990,8.300000191,8.609999657,8.590000153,8.520000458,8.579999924,8.510000229,,8.470000267
3/27/1990,8.350000381,8.590000153,8.600000381,8.550000191,8.590000153,8.520000458,,8.479999542
3/28/1990,8.329999924,8.569999695,8.600000381,8.529999733,8.579999924,8.510000229,,8.470000267
3/29/1990,8.359999657,8.619999886,8.649999619,8.600000381,8.659999847,8.600000381,,8.579999924
